Column Name,Data Type,Number of Unique Values,Number of Missing Values,Percentage of Missing Values (%),Mean,Median,Standard Deviation,Minimum,Maximum,Top Value (Mode),Frequency of Top Value
school,object,2,0,0.0,,,,,,GP,342
sex,object,2,0,0.0,,,,,,F,198
age,int64,7,0,0.0,16.586387434554975,17.0,1.173470093131581,15.0,22.0,16,107
address,object,2,0,0.0,,,,,,U,301
famsize,object,2,0,0.0,,,,,,GT3,278
Pstatus,object,2,0,0.0,,,,,,T,344
Medu,int64,5,0,0.0,2.806282722513089,3.0,1.0863806381682224,0.0,4.0,4,135
Fedu,int64,5,0,0.0,2.5654450261780104,3.0,1.096240143559122,0.0,4.0,2,105
Mjob,object,5,0,0.0,,,,,,other,138
Fjob,object,5,0,0.0,,,,,,other,211
reason,object,4,0,0.0,,,,,,course,140
guardian_mat,object,3,0,0.0,,,,,,mother,275
traveltime_mat,int64,4,0,0.0,1.442408376963351,1.0,0.6953784148772155,1.0,4.0,1,250
studytime_mat,int64,4,0,0.0,2.0340314136125652,2.0,0.8457979996597548,1.0,4.0,2,190
failures_mat,int64,4,0,0.0,0.2905759162303665,0.0,0.7294805855317833,0.0,3.0,0,316
schoolsup_mat,object,2,0,0.0,,,,,,no,331
famsup_mat,object,2,0,0.0,,,,,,yes,238
paid_mat,object,2,0,0.0,,,,,,no,205
activities_mat,object,2,0,0.0,,,,,,yes,201
nursery,object,2,0,0.0,,,,,,yes,310
higher_mat,object,2,0,0.0,,,,,,yes,364
internet,object,2,0,0.0,,,,,,yes,324
romantic_mat,object,2,0,0.0,,,,,,no,261
famrel_mat,int64,5,0,0.0,3.93979057591623,4.0,0.921620140329279,1.0,5.0,4,183
freetime_mat,int64,5,0,0.0,3.222513089005236,3.0,0.9882331159343315,1.0,5.0,3,156
goout_mat,int64,5,0,0.0,3.112565445026178,3.0,1.1319271257529868,1.0,5.0,3,123
Dalc_mat,int64,5,0,0.0,1.4738219895287958,1.0,0.8862291757531662,1.0,5.0,1,268
Walc_mat,int64,5,0,0.0,2.2801047120418847,2.0,1.282865881881802,1.0,5.0,1,146
health_mat,int64,5,0,0.0,3.5785340314136125,4.0,1.4003598891173643,1.0,5.0,5,146
absences_mat,int64,32,0,0.0,5.319371727748691,3.0,7.6252510219365925,0.0,75.0,0,116
G1_mat,int64,17,0,0.0,10.861256544502618,10.5,3.3491670907449076,3.0,19.0,10,51
G2_mat,int64,16,0,0.0,10.712041884816754,11.0,3.8325599838407123,0.0,19.0,9,48
G3_mat,int64,18,0,0.0,10.387434554973822,11.0,4.687241768457028,0.0,20.0,10,56
guardian_por,object,3,0,0.0,,,,,,mother,275
traveltime_por,int64,4,0,0.0,1.4450261780104712,1.0,0.699353938339839,1.0,4.0,1,250
studytime_por,int64,4,0,0.0,2.0392670157068062,2.0,0.8455705101117221,1.0,4.0,2,190
failures_por,int64,4,0,0.0,0.14136125654450263,0.0,0.5132534590683838,0.0,3.0,0,348
schoolsup_por,object,2,0,0.0,,,,,,no,332
famsup_por,object,2,0,0.0,,,,,,yes,239
paid_por,object,2,0,0.0,,,,,,no,356
activities_por,object,2,0,0.0,,,,,,yes,200
higher_por,object,2,0,0.0,,,,,,yes,364
romantic_por,object,2,0,0.0,,,,,,no,259
famrel_por,int64,5,0,0.0,3.9424083769633507,4.0,0.9088843847907823,1.0,5.0,4,184
freetime_por,int64,5,0,0.0,3.230366492146597,3.0,0.9850959539858624,1.0,5.0,3,157
goout_por,int64,5,0,0.0,3.1178010471204187,3.0,1.1337103196684704,1.0,5.0,3,124
Dalc_por,int64,5,0,0.0,1.4764397905759161,1.0,0.8863028254863278,1.0,5.0,1,267
Walc_por,int64,5,0,0.0,2.2905759162303663,2.0,1.2825766320404581,1.0,5.0,1,144
health_por,int64,5,0,0.0,3.575916230366492,4.0,1.4042478014856759,1.0,5.0,5,147
absences_por,int64,19,0,0.0,3.6727748691099475,2.0,4.905965317036516,0.0,32.0,0,150
G1_por,int64,15,0,0.0,12.112565445026178,12.0,2.556531281613514,0.0,19.0,12,58
G2_por,int64,14,0,0.0,12.238219895287958,12.0,2.4683412717721684,5.0,19.0,12,66
G3_por,int64,17,0,0.0,12.515706806282722,13.0,2.9454381112311054,0.0,19.0,13,63
